"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
1,"",6.7,"",0.000305555555555556,44.6727777777778,0.0860833333333333,45.2291666666667,114.44,-16.88,0.07,0.08,-0.012,-0.018,-18
2,"",6.29,"",23.9989444444444,-0.941666666666667,0.0843888888888889,0.503055555555556,98.33,-61.14,1.1,1.02,0.045,-0.06,14
3,"33    Psc",4.61,"I",0.00361111111111111,-5.73305555555556,0.0889166666666667,-4.2925,93.75,-65.93,1.04,0.89,-0.009,0.089,-6
4,"86    Peg",5.51,"",0.00938888888888889,12.8397222222222,0.095,13.3961111111111,106.19,-47.98,0.9,NA,0.045,-0.012,-2
5,"",5.96,"",0.0171666666666667,57.8791666666667,0.104444444444444,58.4366666666667,117.03,-3.92,0.67,0.2,0.263,0.03,-12
6,"",5.7,"",0.019,-48.3691666666667,0.105277777777778,-48.925,321.61,-66.38,0.52,0.05,0.565,-0.038,3
7,"10    Cas",5.59,"",0.0206666666666667,63.6394444444444,0.107361111111111,64.1961111111111,118.06,1.75,-0.03,-0.19,0.008,0,0
8,"",6.13,"",0.0236666666666667,28.4697222222222,0.110222222222222,29.0213888888889,111.26,-32.83,0.75,0.33,0.38,-0.182,-8
9,"",6.18,"",0.0286111111111111,-22.3369444444444,0.113916666666667,-22.8925,52.21,-79.14,0.38,0.05,0.1,-0.045,3
10,"",6.19,"",0.0366111111111111,-16.0558333333333,0.121722222222222,-16.6136111111111,74.36,-75.9,0.14,0.1,-0.018,0.036,-9
11,"",6.43,"",0.0435277777777778,-2.89444444444444,0.128916666666667,-1.45111111111111,98.02,-63.29,-0.14,-0.47,0.027,-0.002,13
12,"",5.94,"",0.0445277777777778,-22.9355555555556,0.129666666666667,-21.4911111111111,55.56,-79.07,0.14,0.06,0.052,-0.044,-13
13,"",5.68,"",0.0496111111111111,-33.9138888888889,0.134305555555556,-32.4705555555556,355.91,-78.67,1.12,NA,-0.037,0,7
14,"",6.07,"I",0.0513333333333333,-2.99583333333333,0.136694444444444,-1.55222222222222,98.34,-63.24,1.38,1.14,0.009,-0.003,1
15,"21Alp And",2.06,"I",0.0536111111111111,28.5383333333333,0.139805555555556,29.0905555555556,111.73,-32.84,-0.11,-0.46,0.136,-0.163,-12
16,"",5.99,"",0.0530277777777778,-8.62027777777778,0.138166666666667,-7.17611111111111,91.79,-69.04,1.04,0.83,-0.052,-0.033,20
17,"",6.19,"",0.0588611111111111,36.0738888888889,0.144722222222222,36.6266666666667,113.45,-25.45,0.48,-0.09,-0.1,-0.145,-14
18,"",6.06,"I",0.0575277777777778,-17.8663888888889,0.142611111111111,-16.4225,74.69,-76.25,1.67,1.97,0,-0.025,-17
19,"",6.23,"",0.0617222222222222,24.9052777777778,0.147833333333333,25.4627777777778,110.97,-36.42,0.97,0.73,0.114,0.031,15
20,"",6.01,"",0.0634722222222222,79.1591666666667,0.155611111111111,79.7147222222222,120.98,17,0.19,0.1,0.102,-0.027,1
21,"11Bet Cas",2.27,"I",0.0639444444444444,58.5983333333333,0.152972222222222,59.1497222222222,117.52,-3.27,0.34,0.11,0.525,-0.181,12
22,"87    Peg",5.53,"",0.0646666666666667,17.6561111111111,0.150666666666667,18.2119444444444,108.99,-43.51,1.04,NA,0.137,-0.024,-23
23,"",6.33,"",0.0665833333333333,-53.4408333333333,0.150666666666667,-53.9980555555556,316.25,-62.02,0.74,0.39,0.051,0.016,1
24,"Kap1Scl",5.42,"",0.0708888888888889,-27.4555555555556,0.155833333333333,-26.0122222222222,25.24,-80.63,0.42,0.08,0.072,-0.004,9
25,"Eps Phe",3.88,"",0.0722777777777778,-45.7008333333333,0.156861111111111,-44.2525,324.34,-69.6,1.03,0.84,0.124,-0.181,-9
26,"34    Psc",5.51,"",0.0816111111111111,10.5891666666667,0.167305555555556,11.1455555555556,106.87,-50.43,-0.07,-0.24,0.041,-0.003,14
27,"22    And",5.03,"",0.0853333333333333,45.5158333333333,0.172027777777778,46.0722222222222,115.52,-16.21,0.4,0.25,0.008,0,-5
28,"",6.74,"",0.0875,56.6088888888889,0.174916666666667,57.1655555555556,117.38,-5.26,-0.08,-0.41,0.023,0.006,2
29,"",5.84,"",0.0865555555555556,-4.19583333333333,0.171888888888889,-4.75138888888889,96.99,-66.03,0.98,0.74,0.036,-0.033,24
30,"Gam3Oct",5.28,"",0.0917777777777778,-81.22,0.16725,-81.7761111111111,304.63,-34.77,1.05,0.92,-0.029,-0.02,15
31,"",5.85,"",0.0931944444444444,-12.8647222222222,0.178555555555556,-11.42,87.69,-72.6,1.01,0.8,0.15,-0.038,6
32,"",6.64,"",0.0956666666666667,-72.2186111111111,0.177388888888889,-72.7755555555556,306.98,-43.58,0.37,0.06,0.123,0.016,-14
33,"6    Cet",4.89,"",0.102916666666667,-15.9830555555556,0.18775,-14.5319444444444,82.24,-75.06,0.49,-0.03,-0.077,-0.268,14
34,"Kap2Scl",5.41,"I",0.108277777777778,-27.6433333333333,0.192888888888889,-26.2002777777778,26.3,-81.13,1.34,1.46,0.01,0.016,-6
35,"The Scl",5.25,"",0.110833333333333,-34.3072222222222,0.195555555555556,-34.8669444444444,347.16,-78.34,0.44,NA,0.173,0.119,-2
36,"",6.16,"I",0.112527777777778,47.5958333333333,0.19975,48.1525,116.16,-14.2,1.45,NA,0.058,0.017,16
37,"",5.25,"I",0.117777777777778,-17.5061111111111,0.202777777777778,-16.0616666666667,76.32,-77.1,1.48,1.63,0.056,-0.031,-8
38,"",6.73,"",0.127277777777778,37.1375,0.214,37.6933333333333,114.55,-24.55,-0.13,-0.7,0.028,-0.012,-10
39,"88Gam Peg",2.83,"I",0.13475,14.6277777777778,0.220611111111111,15.1836111111111,109.43,-46.68,-0.23,-0.87,0.003,-0.012,4
40,"",6.3,"",0.137055555555556,26.4322222222222,0.223333333333333,26.9872222222222,112.56,-35.12,0.65,0.33,-0.008,-0.047,-13
41,"23    And",5.72,"",0.138611111111111,40.4833333333333,0.225222222222222,41.0352777777778,115.27,-21.27,0.31,-0.02,-0.123,-0.148,-29
42,"",5.94,"I",0.143833333333333,-25.4236111111111,0.228361111111111,-25.9780555555556,38.28,-81.49,1.55,NA,0.026,-0.069,-30
43,"",6.31,"I",0.1445,-25.1586111111111,0.228944444444444,-25.7152777777778,36.52,-81.54,1.48,1.65,-0.02,0.012,18
44,"",6.25,"",0.147388888888889,32.6502777777778,0.233972222222222,33.2061111111111,113.99,-29.02,-0.01,-0.05,-0.006,-0.018,1
45,"89Chi Peg",4.8,"I",0.157111111111111,19.6505555555556,0.243388888888889,20.2066666666667,111.3,-41.83,1.57,1.93,0.093,0,-46
46,"",5.12,"I",0.155777777777778,-7.66305555555556,0.241,-6.21944444444444,96.87,-68.76,1.62,1.81,0.059,0.004,-2
47,"",5.77,"",0.158916666666667,-84.4494444444445,0.222055555555556,-83.0058333333333,303.91,-32.06,1.72,2.1,0.004,0.008,4
48,"7    Cet",4.44,"I",0.159361111111111,-18.5130555555556,0.244,-17.0672222222222,75.11,-78.23,1.66,1.99,-0.024,-0.067,-23
49,"",6.24,"",0.162583333333333,21.7286111111111,0.248916666666667,22.2841666666667,111.92,-39.81,-0.01,0.12,0.065,-0.011,-15
50,"35    Psc",5.79,"",0.163805555555556,8.26555555555556,0.249666666666667,8.82083333333333,107.86,-52.98,0.31,0.04,0.097,-0.028,1
51,"",5.75,"",0.163388888888889,-9.87472222222222,0.248472222222222,-8.43027777777778,95.06,-70.44,-0.08,NA,0.028,-0.011,17
52,"",6.45,"I",0.16525,30.98,0.251944444444444,31.5358333333333,113.93,-30.7,NA,NA,0.035,-0.005,2
53,"",6.35,"",0.166472222222222,26.7277777777778,0.252944444444444,27.2830555555556,113.1,-34.9,-0.02,0.02,0.021,-0.031,-4
54,"",6.17,"",0.165361111111111,-34.54,0.2495,-33.0955555555556,345.8,-78.99,1.34,NA,0.073,-0.023,-52
55,"",6.35,"",0.175861111111111,76.395,0.270555555555556,76.9508333333333,120.89,14.22,-0.07,-0.26,0.018,-0.002,-7
56,"",6.15,"",0.185055555555556,43.04,0.272666666666667,43.5947222222222,116.23,-18.82,0.05,0.03,0.043,-0.03,2
57,"",5.67,"I",0.184833333333333,-31.9983333333333,0.269138888888889,-30.5536111111111,1.53,-81.18,1.35,1.5,0.122,-0.03,26
58,"",6.49,"",0.189,-75.5325,0.265333333333333,-74.0886111111111,305.79,-41.02,1,0.72,-0.013,0.006,16
59,"36    Psc",6.11,"",0.190472222222222,7.68472222222222,0.276138888888889,8.24,108.28,-53.64,0.92,0.66,-0.02,-0.019,1
60,"",5.74,"",0.192944444444444,60.9775,0.282527777777778,61.5333333333333,118.83,-1.06,0.88,0.59,-0.001,-0.001,-4
61,"",6.47,"",0.193916666666667,-19.2341666666667,0.278472222222222,-19.7894444444444,72.13,-79.47,-0.09,-0.48,0.012,-0.014,19
62,"",5.89,"",0.197861111111111,47.3919444444444,0.285861111111111,47.9475,117.01,-14.53,-0.09,-0.44,0.008,0,-9
63,"24The And",4.61,"",0.19775,38.1263888888889,0.284861111111111,38.6816666666667,115.62,-23.7,0.06,0.04,-0.05,-0.019,1
64,"",6.77,"",0.206333333333333,-78.6647222222222,0.280277777777778,-77.2194444444444,305.07,-38.2,0.46,0.08,0.077,-0.043,-13
65,"",6.14,"I",0.206888888888889,50.8775,0.295277777777778,51.4330555555556,117.59,-11.09,-0.13,-0.97,-0.005,-0.004,-35
66,"",6.45,"",0.207833333333333,-18.3933333333333,0.292388888888889,-18.9488888888889,77.21,-78.78,0.37,NA,0.015,0.003,-5
67,"",6.17,"",0.210972222222222,1.13277777777778,0.296583333333333,1.68888888888889,105.89,-60.07,0.94,0.73,0.095,0.012,-9
68,"25Sig And",4.52,"",0.218333333333333,36.2308333333333,0.305472222222222,36.7852777777778,115.59,-25.61,0.05,0.07,-0.063,-0.041,-8
69,"",6.05,"",0.218972222222222,10.6513888888889,0.304777777777778,11.2058333333333,110,-50.83,1.03,NA,-0.036,-0.038,9
70,"26    And",6.11,"",0.223805555555556,43.2358333333333,0.311694444444444,43.7911111111111,116.7,-18.68,-0.08,-0.35,0.02,-0.003,7
71,"",5.87,"",0.223527777777778,30.9619444444444,0.310638888888889,31.5172222222222,114.79,-30.84,-0.01,0,0.058,-0.006,-5
72,"",6.46,"",0.225833333333333,-7.39555555555556,0.311611111111111,-7.94722222222222,99.29,-69.4,0.68,0.29,0.413,-0.139,-10
73,"",6.33,"",0.228805555555556,-42.2088888888889,0.311833333333333,-42.7647222222222,323.2,-72.58,1.21,NA,0.056,0.012,12
74,"8Iot Cet",3.56,"I",0.238861111111111,-8.62166666666667,0.323805555555556,-7.17611111111111,98.98,-70.19,1.22,1.25,-0.014,-0.036,19
75,"",6.33,"",0.240527777777778,40.1747222222222,0.328222222222222,40.7297222222222,116.46,-21.74,1.18,NA,-0.026,-0.01,-38
76,"",6.52,"",0.246194444444444,48.3105555555556,0.334777777777778,48.8652777777778,117.63,-13.68,NA,NA,0.005,-0.017,-3
77,"Zet Tuc",4.23,"I",0.247694444444444,-64.5375,0.334527777777778,-63.1252777777778,308.35,-51.9,0.58,0.02,1.705,1.164,9
78,"",5.9,"",0.252972222222222,30.3805555555556,0.340111111111111,30.9358333333333,115.13,-31.47,-0.1,-0.46,0.021,0.004,4
79,"",5.79,"I",0.258777777777778,32.3566666666667,0.345972222222222,32.9113888888889,115.53,-29.52,1.59,NA,-0.026,-0.014,-36
80,"41    Psc",5.37,"I",0.2575,7.635,0.343305555555556,8.19027777777778,109.91,-53.9,1.34,1.55,-0.002,0.008,16
81,"",6.56,"",0.262611111111111,10.4227777777778,0.348472222222222,10.9769444444444,110.93,-51.18,NA,NA,-0.046,-0.028,-18
82,"27Rho And",5.18,"",0.264194444444444,37.4147222222222,0.352027777777778,37.9686111111111,116.37,-24.52,0.42,0.05,0.06,-0.04,9
83,"Pi  Tuc",5.51,"",0.266916666666667,-69.82,0.344166666666667,-68.375,306.87,-47.27,-0.05,-0.14,-0.007,0,12
84,"Iot Scl",5.18,"",0.274916666666667,-28.4655555555556,0.358666666666667,-27.0183333333333,15.52,-83.15,1,0.82,0.04,-0.074,21
85,"",5.12,"I",0.2785,-19.3875,0.362861111111111,-19.9422222222222,77.51,-80.2,1.82,1.78,0.071,-0.005,29
86,"42    Psc",6.23,"",0.287472222222222,12.9272222222222,0.37375,13.4825,112.19,-48.78,1.22,NA,0.062,0.021,3
87,"",5.97,"",0.286861111111111,-76.0183333333333,0.357944444444444,-76.5730555555556,305.04,-39.58,1.4,1.4,0.002,-0.01,21
88,"9    Cet",6.39,"I",0.295638888888889,-11.2341666666667,0.381055555555556,-11.7905555555556,97.34,-73.64,0.66,0.24,0.394,0.061,-7
89,"",6.55,"",0.303416666666667,-30.4094444444444,0.386833333333333,-30.9638888888889,358.89,-82.7,0,-0.31,0.029,-0.003,1
90,"",7.39,"I",0.312444444444444,38.0236111111111,0.400555555555556,38.5772222222222,117.07,-23.98,1.97,1.25,-0.007,-0.023,-11
91,"",5.57,"",0.3145,51.4658333333333,0.404333333333333,52.02,118.68,-10.63,-0.12,-0.6,0.013,-0.004,-7
93,"12    Cas",5.4,"",0.321166666666667,61.2769444444444,0.413194444444444,61.8311111111111,119.79,-0.88,0,-0.16,0.012,-0.001,-4
94,"",6.07,"",0.323055555555556,-1.22777777777778,0.40825,-1.78083333333333,107.27,-64.27,1.22,1.23,-0.033,-0.044,15
96,"",5.74,"",0.328222222222222,52.4927777777778,0.418444444444444,53.0469444444444,118.92,-9.62,-0.06,-0.31,0.023,-0.002,10
97,"44    Psc",5.77,"",0.337916666666667,1.38611111111111,0.423388888888889,1.93972222222222,109.73,-60.26,0.86,0.57,-0.013,-0.015,-4
98,"Bet Hyi",2.8,"I",0.341666666666667,-76.1825,0.429194444444444,-76.7458333333333,304.81,-39.77,0.62,0.11,2.215,0.324,23
99,"Alp Phe",2.39,"I",0.355694444444444,-41.1511111111111,0.438055555555556,-41.6938888888889,320.02,-73.98,1.09,0.88,0.203,-0.396,75
100,"Kap Phe",3.94,"",0.35475,-43.7652777777778,0.436722222222222,-42.32,318.42,-72.68,0.17,0.11,0.109,0.029,11
101,"10    Cet",6.19,"",0.358222222222222,0.603333333333333,0.443722222222222,0.0497222222222222,109.5,-62.27,0.9,0.55,0.073,-0.001,-23
102,"",5.98,"",0.370555555555556,-25.8997222222222,0.454083333333333,-24.4527777777778,47.84,-84.35,1.03,0.88,0.036,-0.019,-3
103,"47    Psc",5.06,"I",0.380555555555556,17.3391666666667,0.467472222222222,17.8930555555556,115.1,-44.62,1.65,1.82,0.117,0.021,6
104,"",5.17,"",0.380861111111111,43.8413888888889,0.470472222222222,44.3944444444444,118.57,-18.28,0.03,-0.01,0.089,-0.016,2
105,"Eta Scl",4.81,"",0.382833333333333,-32.4408333333333,0.465472222222222,-32.9927777777778,342.36,-82.23,1.64,1.81,-0.019,-0.052,11
106,"48    Psc",6.06,"I",0.383583333333333,15.8922222222222,0.470194444444444,16.445,114.89,-46.06,1.58,2,0.019,-0.015,-7
107,"",6.04,"",0.386055555555556,9.64222222222222,0.47225,10.1897222222222,113.62,-52.26,0.43,-0.06,0.046,-0.207,-10
108,"",6.43,"",0.388944444444444,-19.1147222222222,0.472527777777778,-19.665,83.87,-81.4,0.59,-0.03,-0.116,-0.114,6
109,"",5.43,"I",0.391861111111111,-39.5327777777778,0.474,-38.085,321.94,-76.35,1.56,1.9,0.13,-0.036,32
110,"",6.26,"",0.393861111111111,36.3466666666667,0.482388888888889,36.9,117.94,-25.75,0.92,NA,-0.011,0.003,10
111,"",6.26,"",0.398,-50.9141666666667,0.478638888888889,-49.4672222222222,311.91,-66.2,1.09,NA,0.15,-0.002,6
112,"",6.21,"",0.408166666666667,76.4677777777778,0.515277777777778,77.0194444444444,121.74,14.2,0.84,0.54,0.337,-0.038,19
113,"",5.94,"",0.412472222222222,59.425,0.505527777777778,59.9772222222222,120.29,-2.79,0.01,-0.36,0.017,-0.012,-17
114,"28    And",5.23,"",0.414055555555556,29.2002777777778,0.502027777777778,29.7516666666667,117.42,-32.89,0.24,0.09,0.041,-0.054,-10
115,"",6.14,"",0.413277777777778,-14.5838888888889,0.49775,-13.1358333333333,99.58,-76.75,0.37,NA,0.144,-0.032,3
116,"",6.57,"",0.414333333333333,-31.3319444444444,0.496916666666667,-31.8833333333333,344.92,-83.15,1.34,NA,-0.004,-0.054,1
117,"12    Cet",5.72,"I",0.415583333333333,-3.49027777777778,0.500666666666667,-2.04277777777778,109.57,-66.27,1.56,1.91,0.011,-0.012,5
118,"",5.19,"",0.422972222222222,-23.6591666666667,0.506305555555556,-22.2122222222222,66.87,-84.19,0.12,NA,-0.024,0.013,0
119,"",6.19,"",0.426305555555556,-40.5072222222222,0.507722222222222,-39.0605555555556,318.97,-75.53,0.33,0.14,-0.001,0.021,-5
120,"",5.69,"",0.426611111111111,-47.2347222222222,0.50725,-47.785,312.52,-68.52,0.35,0.05,0.129,-0.088,2
121,"13    Cas",6.18,"",0.427722222222222,65.9672222222222,0.523694444444444,66.5194444444444,120.94,3.73,-0.1,-0.47,0.023,-0.006,-10
122,"",5.87,"",0.435222222222222,33.0297222222222,0.523777777777778,33.5816666666667,118.16,-29.1,1.14,NA,0.047,-0.019,9
123,"14Lam Cas",4.73,"",0.437527777777778,53.9702777777778,0.529555555555556,54.5222222222222,120.05,-8.24,-0.1,-0.35,0.045,-0.01,-12
124,"",5.6,"I",0.436777777777778,52.2875,0.528111111111111,52.8394444444444,119.91,-9.92,1.15,1.13,-0.053,-0.019,-52
125,"Lam1Phe",4.77,"",0.443222222222222,-48.6436111111111,0.523611111111111,-47.1963888888889,311.75,-67.98,0.02,0.04,0.143,0.017,-2
126,"Bet1Tuc",4.37,"",0.449361111111111,-62.4908333333333,0.52575,-61.0419444444444,306.78,-54.02,-0.07,-0.17,0.09,-0.054,14
127,"Bet2Tuc",4.54,"",0.449555555555556,-62.4833333333333,0.526,-61.0341666666667,306.78,-54.01,0.15,0.03,0.101,-0.056,10
128,"",6.7,"",0.450833333333333,42.9430555555556,0.540777777777778,43.4947222222222,119.29,-19.24,-0.01,-0.2,0.018,-0.01,-15
129,"",6.42,"",0.455805555555556,70.43,0.555361111111111,70.9816666666667,121.44,8.16,-0.01,-0.06,0.028,-0.004,-10
130,"15Kap Cas",4.16,"",0.455166666666667,62.38,0.55,62.9316666666667,120.84,0.14,0.14,-0.8,0.003,-0.003,-2
131,"52    Psc",5.38,"",0.455777777777778,19.7436111111111,0.543194444444444,20.2944444444444,116.94,-42.36,1.08,0.96,0.135,-0.047,-13
132,"51    Psc",5.67,"",0.453916666666667,6.40333333333333,0.539944444444444,6.95555555555556,114.55,-55.61,0,-0.17,0.035,0.002,17
133,"",6.67,"",0.455055555555556,27.0288888888889,0.542916666666667,27.5805555555556,117.82,-35.1,NA,NA,-0.017,-0.015,2
134,"",6.3,"",0.459,27.7280555555556,0.546972222222222,28.2802777777778,117.96,-34.41,1,0.73,-0.006,0.007,-12
135,"",5.93,"",0.460361111111111,54.3441666666667,0.552888888888889,54.895,120.28,-7.88,1.04,0.84,0.071,-0.042,-35
136,"Bet3Tuc",5.09,"",0.469555555555556,-62.4177777777778,0.5455,-62.9688888888889,306.54,-53.97,0.04,0.02,0.081,-0.038,5
137,"16    Cas",6.48,"",0.476416666666667,66.1988888888889,0.573583333333333,66.7502777777778,121.25,3.93,-0.08,-0.32,0.021,0,-16
138,"",5.55,"I",0.478972222222222,-29.8908333333333,0.561416666666667,-28.4416666666667,0.01,-85.4,1.27,1.23,-0.026,-0.03,-9
139,"The Tuc",6.13,"",0.485805555555556,-70.1822222222222,0.556472222222222,-70.7338888888889,305.01,-45.79,0.23,0.2,0.067,-0.012,2
140,"",5.57,"",0.495083333333333,-51.0744444444444,0.574388888888889,-51.6269444444444,308.97,-64.55,0.47,0,0.23,0.032,35
141,"",6.4,"",0.495583333333333,12.8213888888889,0.582027777777778,13.3711111111111,116.77,-49.3,NA,NA,-0.09,-0.057,-19
142,"13    Cet",5.2,"",0.501666666666667,-3.85666666666667,0.587472222222222,-2.40722222222222,112.89,-66.15,0.56,0.08,0.413,-0.026,9
143,"14    Cet",5.93,"",0.506861111111111,-0.945,0.592444444444444,0.505555555555556,114.12,-63.1,0.44,-0.02,0.146,-0.066,6
144,"",5.08,"",0.509472222222222,53.6175,0.602305555555556,54.1686111111111,120.67,-8.64,-0.11,-0.36,0.022,0,1
145,"",6.41,"",0.512194444444444,12.6611111111111,0.598527777777778,13.2066666666667,117.11,-49.49,0.52,-0.05,-0.143,-0.189,-25
146,"",5.79,"",0.512777777777778,59.7755555555556,0.607583333333333,60.3261111111111,121.08,-2.49,0.29,0.29,-0.001,-0.003,-9
147,"Lam2Phe",5.51,"",0.515277777777778,-47.4508333333333,0.59475,-47.9991666666667,310.27,-68.9,0.44,-0.01,0.045,-0.104,8
148,"",6.06,"",0.514833333333333,-54.6286111111111,0.592611111111111,-53.1780555555556,307.83,-62.16,1.01,NA,0.027,-0.054,-10
149,"",6.5,"",0.517388888888889,26.7041666666667,0.605555555555556,27.2547222222222,118.81,-35.5,-0.09,-0.39,0.011,-0.016,1
150,"",6.45,"",0.517083333333333,-14.4777777777778,0.600833333333333,-13.0263888888889,105.75,-77.33,1.06,0.91,-0.083,-0.079,12
151,"",6.06,"",0.518972222222222,-22.6080555555556,0.601916666666667,-21.1575,83.1,-84.48,0.29,NA,-0.072,-0.052,13
152,"",5.13,"I",0.52225,43.9369444444444,0.612944444444444,44.4886111111111,120.18,-18.31,1.6,1.97,-0.023,0.033,-33
153,"17Zet Cas",3.66,"",0.52325,53.3466666666667,0.616194444444444,53.8969444444444,120.78,-8.91,-0.2,-0.87,0.019,-0.009,2
154,"29Pi  And",4.36,"",0.525611111111111,33.1688888888889,0.614694444444444,33.7194444444444,119.47,-29.05,-0.14,-0.55,0.015,-0.004,9
155,"53    Psc",5.89,"",0.526277777777778,14.6813888888889,0.613138888888889,15.2316666666667,117.7,-47.49,-0.15,-0.66,0.002,-0.015,-9
156,"",6.47,"",0.530861111111111,23.465,0.618666666666667,24.0141666666667,118.74,-38.74,NA,NA,-0.014,-0.044,-1
157,"",5.48,"",0.53325,34.8491666666667,0.622527777777778,35.3994444444444,119.7,-27.38,0.88,0.48,-0.016,-0.005,0
158,"",6.4,"",0.536777777777778,81.9416666666667,0.663138888888889,82.4938888888889,122.53,19.63,0.55,-0.01,-0.111,0.078,-33
159,"",5.57,"",0.536805555555556,-24.6825,0.622416666666667,-23.2327777777778,68.68,-86.03,0.72,0.24,1.39,-0.012,17
160,"",6.42,"",0.537,-64.3252777777778,0.610388888888889,-64.8752777777778,305.46,-51.93,1.26,1.38,0.029,-0.02,20
161,"",6.39,"",0.539305555555556,2.58666666666667,0.625138888888889,3.13527777777778,116.06,-59.55,1.33,1.52,0.095,-0.061,4
162,"",6.41,"",0.544083333333333,-53.0558333333333,0.621694444444444,-53.6058333333333,307.41,-62.61,1,NA,0.056,-0.021,-6
163,"30Eps And",4.37,"I",0.554472222222222,28.7688888888889,0.642583333333333,29.3116666666667,119.57,-33.47,0.87,0.47,-0.227,-0.254,-84
164,"",5.43,"I",0.560555555555556,48.805,0.65275,49.3544444444444,120.88,-13.47,1.64,NA,0.008,-0.011,-8
165,"31Del And",3.27,"I",0.566305555555556,30.3138888888889,0.655472222222222,30.8608333333333,119.87,-31.94,1.28,1.48,0.136,-0.091,-7
166,"54    Psc",5.87,"",0.569305555555556,20.7111111111111,0.656055555555556,21.2505555555556,119.18,-41.53,0.85,0.57,-0.464,-0.37,-34
167,"55    Psc",5.36,"I",0.577666666666667,20.8897222222222,0.665444444444445,21.4383333333333,119.36,-41.35,1.16,1.05,0.028,-0.035,-17
168,"18Alp Cas",2.23,"I",0.580472222222222,55.9888888888889,0.675138888888889,56.5372222222222,121.42,-6.3,1.17,1.13,0.053,-0.032,-4
169,"",6.85,"",0.57925,-72.3125,0.644666666666667,-72.8627777777778,304.22,-43.96,0.11,0.12,-0.017,0.02,21
170,"",6.69,"",0.584055555555556,-33.4922222222222,0.666083333333333,-32.0383333333333,322.13,-82.73,0.51,-0.03,0.333,-0.116,-11
171,"",6.01,"",0.584972222222222,-44.6538888888889,0.664444444444445,-43.2033333333333,309.65,-72.18,1.14,1.09,0.045,0,8
172,"",6.49,"",0.591,-16.935,0.674611111111111,-15.4830555555556,108.92,-79.09,0.92,0.53,0.037,-0.04,48
173,"",6.14,"",0.591861111111111,-23.6555555555556,0.675805555555556,-22.1955555555556,85.79,-85.86,0.7,0.21,0.644,-0.333,-53
174,"",5.91,"",0.593583333333333,-3.09944444444444,0.678444444444444,-3.64805555555556,116.05,-67.08,1.1,0.89,-0.013,-0.013,35
175,"32    And",5.33,"",0.594916666666667,38.9097222222222,0.685333333333333,39.4586111111111,120.76,-23.37,0.89,0.6,-0.01,-0.007,-5
176,"",5.89,"",0.595888888888889,-59.9838888888889,0.674,-58.5455555555556,305.56,-57.61,0.55,0.01,0.889,0.448,2
177,"",5.83,"",0.601555555555556,65.5991666666667,0.700944444444444,66.1475,121.98,3.29,1.04,0.87,-0.013,-0.009,-3
178,"",6.04,"",0.604888888888889,24.0808333333333,0.693333333333333,24.6291666666667,120.09,-38.19,0.26,0.22,0.107,-0.016,-15
179,"19Xi  Cas",4.8,"",0.608055555555556,49.9641666666667,0.701083333333333,50.5125,121.41,-12.33,-0.11,-0.63,0.015,-0.005,-10
180,"Mu  Phe",4.59,"",0.61,-45.3661111111111,0.688777777777778,-45.915,308.31,-70.94,0.97,0.72,-0.014,-0.002,19
181,"",6.17,"",0.612722222222222,58.2052777777778,0.708638888888889,58.7533333333333,121.77,-4.1,-0.01,-0.11,0.036,-0.007,-3
183,"Xi  Phe",5.7,"",0.62025,-56.9486111111111,0.696222222222222,-55.4983333333333,305.65,-60.57,0.2,NA,0.085,0.044,10
184,"20Pi  Cas",4.94,"",0.632166666666667,46.4775,0.724472222222222,47.0247222222222,121.52,-15.82,0.18,0.09,-0.02,-0.034,13
185,"Lam1Scl",6.06,"",0.631722222222222,-38.9886111111111,0.711916666666667,-37.5366666666667,311.54,-78.52,-0.03,-0.13,0.003,-0.005,10
186,"",5.98,"",0.636805555555556,-59.1902777777778,0.711611111111111,-59.7375,304.92,-56.83,1.32,1.45,0.255,-0.045,26
187,"Rho Tuc",5.39,"",0.636666666666667,-65.9825,0.707888888888889,-64.5319444444444,304.43,-51.63,0.5,0.02,0.053,0.042,14
188,"16Bet Cet",2.04,"I",0.642833333333333,-17.4644444444444,0.7265,-16.0133333333333,111.31,-80.68,1.02,0.87,0.234,0.033,13
189,"",5.67,"",0.648,47.3161111111111,0.740666666666667,47.8641666666667,121.72,-14.99,-0.12,-0.56,-0.026,0.015,-60
190,"",6.02,"",0.646638888888889,-11.4461111111111,0.730611111111111,-11.9883333333333,115.84,-74.78,1.1,1.09,0.007,-0.204,-9
191,"Eta Phe",4.36,"",0.647694444444444,-57.9886111111111,0.722555555555556,-56.5369444444444,305.08,-59.63,0,-0.02,-0.006,0.011,2
192,"21    Cas",5.66,"",0.650611111111111,74.4413888888889,0.760833333333333,74.9880555555556,122.55,12.12,0.05,0.07,-0.018,-0.026,9
193,"22Omi Cas",4.54,"",0.652472222222222,47.7372222222222,0.745416666666667,48.2844444444444,121.78,-14.57,-0.07,-0.51,0.019,-0.008,-17
194,"17Phi1Cet",4.76,"I",0.652416666666667,-10.8458333333333,0.7365,-9.39055555555556,116.69,-73.39,1.01,0.84,-0.009,-0.113,1
195,"Lam2Scl",5.9,"",0.656111111111111,-37.0275,0.736694444444444,-37.5783333333333,310.14,-78.6,1.16,1.18,0.244,0.113,27
