"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
2670,"",6.49,"",7.01841666666667,-9.49194444444444,7.09713888888889,-9.33888888888889,224.05,-1.69,-0.05,-0.89,0,-0.029,16
2671,"",7.68,"I",7.02225,22.8577777777778,7.12261111111111,22.7036111111111,194.08,13.47,2.21,1.85,0.003,-0.002,-41
2672,"",4.93,"",7.02155555555556,-48.5622222222222,7.06491666666667,-48.4161111111111,259.91,-18.41,0.13,0.12,-0.045,0.146,27
2673,"",6.28,"",7.02769444444444,33.9888888888889,7.13702777777778,33.8322222222222,183.48,17.94,1.34,1.54,-0.01,-0.03,-3
2674,"",5.5,"",7.02861111111111,-58.9716666666667,7.05433333333333,-58.8219444444444,269.54,-21.6,-0.11,-0.47,0.022,0.009,7
2675,"",6.16,"",7.03066666666667,37.6016666666667,7.14341666666667,37.445,179.94,19.28,1.21,NA,-0.008,-0.013,10
2676,"",6.11,"",7.03,5.06527777777778,7.11844444444444,4.91027777777778,210.33,5.72,-0.13,-0.47,-0.033,-0.02,6
2677,"",6.14,"",7.03166666666667,-33.3738888888889,7.09222222222222,-33.2222222222222,245.85,-12.42,0.37,0.03,-0.043,0.041,19
2678,"",5.39,"",7.03302777777778,-10.8602777777778,7.11130555555556,-10.7058333333333,224.71,-1.79,0.05,-0.85,-0.011,-0.005,31
2679,"",6.48,"",7.03241666666667,-11.76,7.10997222222222,-11.6061111111111,225.68,-2.32,-0.1,-0.99,-0.018,0.007,33
2680,"",6.34,"",7.03586111111111,-29.4977777777778,7.10016666666667,-29.3444444444444,242.08,-10.59,-0.16,-0.63,0,0.009,5
2681,"",6.35,"",7.03869444444444,71.9791666666667,7.23280555555556,71.8166666666667,143.41,27.42,1.12,NA,0.025,0.02,-68
2682,"",5.75,"",7.04030555555556,7.62833333333333,7.13041666666667,7.47111111111111,208.11,7.03,1.18,1.08,0.007,-0.036,24
2683,"",5.17,"",7.04066666666667,-55.4022222222222,7.07175,-55.2502777777778,267.11,-20.73,-0.04,NA,0.005,-0.001,30
2684,"45    Gem",5.44,"",7.04386111111111,16.0905555555556,7.13944444444444,15.9308333333333,200.47,10.86,1.03,0.8,-0.008,-0.099,-17
2685,"",6.11,"",7.04338888888889,-37.7711111111111,7.10063888888889,-37.6172222222222,249.27,-13.81,0.7,NA,0.014,0.017,22
2686,"",6.08,"",7.04575,-23.1947222222222,7.11452777777778,-23.0394444444444,236.97,-7.94,1.34,1.51,-0.031,0.007,19
2687,"",6.46,"",7.04552777777778,-49.7922222222222,7.08791666666667,-49.6397222222222,260.76,-18.47,NA,NA,-0.011,0.032,13
2688,"",6.62,"",7.04911111111111,-25.4988888888889,7.11669444444444,-25.3422222222222,238.52,-8.66,-0.17,-0.77,0.016,-0.032,4
